重庆	61.242.249.56
浙江	61.175.236.5
云南	61.166.34.53
新疆	61.138.251.30
香港	61.93.89.70
西藏	36.162.191.177
天津	61.181.8.149
台湾	61.64.30.129
四川	61.188.94.11
上海	61.87.210.161
陕西	61.185.224.245
山西	61.240.58.68
山东	61.179.78.96
青海	36.100.9.127
宁夏	61.133.214.210
内蒙古	61.138.84.46
辽宁	61.176.91.230
江西	61.242.153.98
江苏	61.177.9.136
吉林	61.139.146.220
湖南	61.240.197.132
湖北	61.242.184.234
黑龙江	61.243.215.223
河南	61.54.63.155
河北	61.55.9.34
海南	61.186.4.75
贵州	61.243.46.56
广西	61.139.232.132
广东	61.242.49.221
甘肃	61.178.84.223
福建	61.241.219.212
北京	61.51.91.129
澳门	60.246.84.83
安徽	61.191.147.216
中国	59.152.77.161
中国	61.240.225.130
柬埔寨	42.115.6.11
澳大利亚	60.240.246.92
新西兰	49.224.244.13
巴拉圭	190.104.130.191
马尔代夫	69.94.44.111
德国	95.90.238.226
埃塞俄比亚	197.156.86.56
哥斯达黎加	201.201.215.214
委内瑞拉	201.238.32.99
斐济	45.117.247.225
伯利兹	190.211.145.19
新加坡	66.96.208.57
多米尼加	64.32.74.190
突尼斯	196.235.143.117
越南	59.153.254.8
伊朗	91.98.188.119
毛里求斯	102.163.116.203
白俄罗斯	37.214.14.180
几内亚	197.149.245.68
科威特	94.128.81.14
俄罗斯	95.104.184.50
巴拿马	201.227.226.144
缅甸	69.160.6.230
芬兰	85.76.79.208
斯里兰卡	223.224.3.240
黑山	77.222.27.91
乌干达	41.210.146.187
丹麦	86.48.12.147
北马里亚纳群岛	8.3.123.84
捷克	88.103.232.112
塞内加尔	41.83.9.0
圣文森特和格林纳丁斯	104.219.26.66
尼日利亚	197.211.61.54
萨尔瓦多	200.89.84.251
局域网	192.168.1.43
冰岛	46.182.184.100
肯尼亚	41.80.97.72
利比里亚	41.191.107.131
拉美地区	45.191.244.26
阿联酋	94.59.133.48
蒙古	66.181.184.189
贝宁	41.138.91.145
哈萨克斯坦	2.133.113.250
洪都拉斯	45.166.95.245
南非	45.202.21.222
格陵兰	178.170.135.161
阿曼	62.61.174.109
马来西亚	61.6.98.94
哥伦比亚	45.173.12.252
非洲地区	196.200.232.73
巴勒斯坦	31.223.184.162
挪威	92.220.160.58
秘鲁	201.240.148.167
巴西	45.232.214.108
卢旺达	105.178.39.195
瑞士	89.236.129.223
法国	94.239.39.241
约旦	86.108.23.198
乌兹别克斯坦	84.54.66.146
津巴布韦	77.246.52.168
印度	59.99.126.14
牙买加	96.43.180.203
亚太地区	103.186.216.11
匈牙利	94.21.26.149
加纳	41.66.203.184
赤道几内亚	102.164.252.137
卡塔尔	89.211.216.72
塔吉克斯坦	95.142.91.232
科摩罗	197.255.239.52
欧洲地区	45.155.44.248
土耳其	95.8.82.161
比利时	94.226.169.155
刚果民主共和国	169.159.212.82
加拿大	99.254.195.1
智利	45.235.36.109
立陶宛	78.61.85.104
安圭拉	204.14.250.23
纳米比亚	41.219.127.41
以色列	84.109.208.116
巴基斯坦	59.103.244.50
埃及	81.10.89.243
格鲁吉亚	91.151.136.224
圭亚那	190.80.72.159
卢森堡	78.141.167.87
危地马拉	45.229.42.209
爱尔兰	86.47.232.12
巴布亚新几内亚	124.240.212.187
爱沙尼亚	91.129.103.135
沙特阿拉伯	93.169.24.207
马达加斯加	154.126.38.8
韩国	61.99.87.166
坦桑尼亚	41.222.181.63
利比亚	62.240.62.181
黎巴嫩	94.187.2.173
塞尔维亚	212.200.65.87
海地	200.2.157.65
摩洛哥	41.92.25.227
阿根廷	45.4.216.58
老挝	43.224.39.14
乌拉圭	179.29.14.101
